ID,date,Site,context,perch,bodytemp.C,perch.temp.C,ambient.temp.C,humidity.percent,perch.height.cm,perch.diam.cm,weight.g,head.height.mm,svl.mm,local.time.decimal,flags,JL,JW,METC,RAD,ULN,HUM,FEM,TIB,FIB,METT1,METT2,FL,HL
KMW_023,2012_06_13,San Juan,natural,tree,31.2,28,31.9,53.7,155,4.9,7.9,10.1,65,9,,17.54156642,11.54049179,3.642939909,9.186161033,10.36845238,13.17312778,18.08678667,14.8432189,14.71751478,5.879359531,9.181699183,27.18452008,47.99106428
KMW_024,2012_06_13,San Juan,natural,tree,31.6,28,31.3,55.7,138,1.5,10.1,9.7,70,9,,18.72709101,12.26392368,4.05137901,9.517664528,10.6096629,12.7628843,17.78543801,15.32211624,15.13389941,5.785662954,8.976480411,27.42392621,47.86969762
KMW_025,2012_06_13,San Juan,natural,tree,31.4,28,31.2,57.4,159,6.2,8,9.2,68,9,,18.28698291,11.49277872,3.424762435,8.670692352,10.13256105,13.02449693,17.32061081,14.61551267,14.36850412,5.60438749,9.300272975,26.58182041,46.84078394
KMW_026,2012_06_13,San Juan,natural,tree,31.2,27,31.4,55.4,179,10.8,9.3,9.6,71,9.5,,18.22155321,12.35357886,3.540731401,9.311897174,10.46011381,13.25257213,17.70441723,14.90284549,14.78798504,5.233962554,8.721653133,27.25341735,46.56287841
KMW_027,2012_06_13,San Juan,natural,tree,31.5,27,31.1,59.3,93,1.1,9.1,9.3,72,9.5,,18.17880756,11.85011804,3.497219265,9.253747239,10.72234277,13.04120236,17.26408844,15.07561617,14.76505138,5.283831109,8.819918593,27.26076439,46.44345431
KMW_028,2012_06_13,San Juan,natural,tree,30.9,26,31.1,59.3,72,7.8,6.3,9,64,9.5,,17.19621745,11.10076455,3.850295506,8.997299679,10.39424815,13.16282225,17.4710124,15.15320271,14.83382769,5.624932856,9.142371528,27.4073659,47.3915195
KMW_029,2012_06_13,San Juan,natural,tree,30.7,27,31.1,58.7,84,4.3,4.9,8.2,61,9.5,,16.16924618,9.930421479,3.225381646,7.817608062,8.861796837,11.31097766,14.80178169,12.86001894,12.57325404,5.082226789,8.12969125,23.39815615,40.87371866
KMW_030,2012_06_13,San Juan,natural,tree,31.6,27,31.8,58.6,66,12.5,10.2,10.1,69,10,,17.72118531,12.28429709,3.542388544,8.922903188,10.58769385,13.02588782,18.39085847,15.31047836,15.00876313,5.719633125,9.294174191,27.15597021,48.71514415
KMW_031,2012_06_13,San Juan,natural,tree,NA,27,31.7,60,218,51.7,8.9,10,73,10,,18.22145748,12.47880551,3.523494818,9.099219872,10.72105893,13.18026369,18.16390884,14.81771399,14.62306037,5.672936147,8.741430793,27.42481744,47.39598977
KMW_032,2012_06_13,San Juan,natural,tree,NA,28,31.9,57.8,163,12,6,8.7,65,10,,,,,,,,,,,,,,
KMW_033,2012_06_13,San Juan,natural,tree,NA,NA,32.4,58.7,NA,NA,9.3,9.6,69,10,,18.11648371,12.15932512,4.248792852,9.4757659,11.01615451,13.51225714,18.52907782,15.77163313,15.62941723,5.7893545,9.205733131,28.77720451,49.29579858
KMW_034,2012_06_13,San Juan,natural,tree,NA,31,32.8,54.9,146,3.9,9.2,9.4,70,10.5,,19.27391419,12.03221658,3.605477162,8.88561747,10.10372043,12.45265881,17.70038176,14.66624733,14.48132559,5.777582182,8.399675225,26.1618564,46.5438865
KMW_035,2012_06_13,San Juan,natural,tree,NA,NA,33.3,54.7,NA,NA,6.4,9.1,64,10.5,,17.29666481,11.13979084,3.658010481,9.004528719,10.31921976,12.75721837,16.97640202,14.56918063,14.52820312,5.666143046,8.935164343,26.73444862,46.14689004
KMW_036,2012_06_13,San Juan,natural,tree,NA,29,33.4,50.5,227,15.3,6.5,8.9,69,10.5,,18.24593806,11.61396478,4.051736005,9.321633341,10.81362094,12.77253852,17.56639703,14.47134706,14.23030851,6.265517721,8.886221903,27.63789547,47.18948371
KMW_037,2012_06_13,San Juan,natural,tree,NA,32,32.7,46.7,159,3,7.4,9,68,10.5,,17.75326943,11.70703388,3.652968644,8.848693174,10.43358861,12.80083595,16.40453875,14.27699055,14.0528045,5.832198123,8.903985431,26.8873932,45.41771286
KMW_038,2012_06_14,San Juan,natural,tree,NA,31,33.2,46.2,158,9.9,10.8,9.9,71,10.5,,18.43929345,12.69341779,3.98223818,9.462597539,10.9412164,13.39086734,18.27666827,15.50138949,15.28204698,5.670689234,9.535877368,28.31432192,48.98462436
KMW_039,2012_06_14,San Juan,natural,tree,NA,28,33.2,46.2,115,30,7.9,8.8,69,11,,17.89331353,11.79907761,3.955191875,9.401646544,10.85264894,13.35324993,17.4523759,14.94681924,14.86965498,6.089300517,9.591842832,28.16109075,48.08033849
KMW_040,2012_06_14,San Juan,natural,tree,NA,28,33,46.6,43,11.7,11.9,10.6,74,11,,19.47982736,13.04441688,4.353337498,10.19082358,11.38035563,13.51292405,18.71202441,15.92336218,15.66398835,5.911456499,9.313052502,29.24661718,49.85989559
KMW_041,2012_06_14,San Juan,natural,tree,NA,31,32.9,50,83,8.2,9.1,9.3,68,11,,17.52780117,12.23272206,3.446035962,8.901610112,10.43523133,12.79562914,17.14702154,14.31734134,14.23734266,5.038628914,8.434017872,26.67689643,44.93700967
KMW_042,2012_06_14,San Juan,natural,tree,NA,29,33.4,49,157,16.8,5.9,9,60,11,,15.65688257,10.23952733,3.541274883,8.262401112,9.650943889,11.80317175,15.65678827,13.41494431,13.16859155,5.362074155,8.245149061,24.99539052,42.6789558
KMW_043,2012_06_14,San Juan,natural,tree,NA,29,33.3,50.9,168,30.9,8.8,9.6,70,11,,19.11672849,12.65737541,4.005046986,9.304957288,11.0237166,12.94073534,18.61679374,15.7354556,15.42146681,5.548163621,8.38780188,27.96949893,48.28821484
KMW_044,2012_06_14,San Juan,natural,tree,32.9,32,32.4,61.9,96,5.1,9.2,9,71,9.5,,18.32444742,12.14509595,3.971060168,9.398069838,10.70160255,13.40956354,17.49516313,14.73315044,14.44656409,5.679738711,9.216368617,28.08222627,47.1244209
KMW_045,2012_06_14,San Juan,natural,tree,32.3,31,31.8,58.9,178,6.6,9.3,10.1,65,9.5,,17.06893371,11.433968,3.545970339,9.071805406,10.6543004,13.07855838,16.93763971,14.64905309,14.33685327,5.845715688,9.012888653,27.27882912,46.44529714
